"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","GO:0051607","defense response to virus","54/790","329/28928",0.164133738601824,6.01020353199184,15.31427793321,2.01534046341169e-26,5.27324581750379e-23,3.8756752179741e-23,"102639543/623121/236312/100033459/100040462/15950/58203/229898/14468/14469/100038882/23962/231655/246728/246727/23961/23960/246730/12525/20928/94094/76681/434219/20128/209387/16411/12176/68713/54123/27027/234311/69550/434341/81897/16160/637515/276950/20304/80861/58185/217845/78416/67775/17858/110558/224762/224840/15958/15959/667373/667370/112419/15957/20371",54
"GO:0009615","GO:0009615","response to virus","60/790","412/28928",0.145631067961165,5.33267789111466,14.8415527094034,2.23347980411003e-26,5.27324581750379e-23,3.8756752179741e-23,"102639543/623121/236312/100033459/100040462/15950/58203/229898/14468/14469/18619/100038882/23962/231655/246728/246727/23961/23960/246730/14255/12525/20928/94094/76681/434219/20128/209387/16411/12176/68713/54123/27027/234311/69550/434341/18985/81897/16160/637515/276950/20304/80861/58185/76933/217845/545030/78416/67775/17857/17858/110558/224762/224840/15958/15959/667373/667370/112419/15957/20371",60
"GO:0019882","GO:0019882","antigen processing and presentation","34/790","138/28928",0.246376811594203,9.02175747569253,15.8273012727084,5.29110853412808e-23,8.32820483271759e-20,6.12097713579659e-20,"12010/13040/14255/14128/12775/545030/14972/15001/14998/15000/14999/16912/21354/16913/21355/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/224840/16149",34
"GO:0070661","GO:0070661","leukocyte proliferation","53/790","378/28928",0.14021164021164,5.13423079499029,13.5567688772433,1.22765185338655e-22,1.44924301292283e-19,1.06514951595144e-19,"20849/12487/16963/30925/12902/18761/16184/27371/12578/22417/22163/20423/14255/93675/12518/12483/243958/12478/27027/170786/24099/15930/76527/12501/81897/16160/57916/20556/20304/12775/20533/20666/17079/14165/21943/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/17986/12229",53
"GO:0046651","GO:0046651","lymphocyte proliferation","49/790","336/28928",0.145833333333333,5.34008438818565,13.4080053902192,9.11086790670116e-22,8.60430365108857e-19,6.32390136597762e-19,"12487/16963/30925/12902/18761/16184/27371/12578/22417/22163/20423/14255/93675/12518/12483/243958/12478/27027/170786/24099/15930/12501/81897/16160/57916/20556/20304/12775/20533/20666/17079/14165/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/12229",49
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","27/790","87/28928",0.310344827586207,11.3641204714099,16.2220431534034,1.92834075671104e-21,1.33597003617706e-18,9.81897324790069e-19,"12010/13040/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/16149",27
"GO:0045088","GO:0045088","regulation of innate immune response","59/790","496/28928",0.118951612903226,4.3557370355247,12.6311730415553,2.0934966369237e-21,1.33597003617706e-18,9.81897324790069e-19,"16963/30925/102639543/623121/236312/100033459/15951/100040462/381308/15950/226695/228801/58203/229898/55932/14468/14469/100061/100038882/231655/246727/23961/23960/246730/83408/414084/80782/16643/27007/76681/434219/20128/209387/244202/54123/234311/434341/81897/215900/16160/327957/637515/80861/382551/58185/16364/54483/547253/21354/21355/15511/224762/224840/12475/16149/60533/20400/71398/12229",59
"GO:0032943","GO:0032943","mononuclear cell proliferation","49/790","343/28928",0.142857142857143,5.23110307414105,13.2083995543091,2.26339692702594e-21,1.33597003617706e-18,9.81897324790069e-19,"12487/16963/30925/12902/18761/16184/27371/12578/22417/22163/20423/14255/93675/12518/12483/243958/12478/27027/170786/24099/15930/12501/81897/16160/57916/20556/20304/12775/20533/20666/17079/14165/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/12229",49
"GO:0045089","GO:0045089","positive regulation of innate immune response","53/790","404/28928",0.131188118811881,4.80381000125329,12.9009863413579,2.77645256480591e-21,1.45671211233483e-18,1.07063907674446e-18,"16963/30925/102639543/623121/236312/100033459/15951/100040462/381308/15950/226695/228801/58203/229898/55932/14468/14469/100061/231655/246727/23961/23960/246730/83408/414084/16643/27007/76681/434219/20128/209387/244202/54123/234311/434341/81897/16160/327957/637515/80861/382551/58185/16364/54483/15511/224762/224840/12475/16149/60533/20400/71398/12229",53
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","54/790","434/28928",0.124423963133641,4.5561220323164,12.5072963846938,1.38391498408837e-20,5.94076959533208e-18,4.36628488281278e-18,"16963/30925/102639543/623121/236312/100033459/15951/100040462/381308/15950/226695/228801/58203/229898/55932/14468/14469/100061/231655/246727/23961/23960/246730/83408/414084/16643/27007/76681/434219/20128/209387/244202/54123/234311/434341/81897/16160/327957/637515/80861/382551/58185/16364/17079/54483/15511/224762/224840/12475/16149/60533/20400/71398/12229",54
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","54/790","434/28928",0.124423963133641,4.5561220323164,12.5072963846938,1.38391498408837e-20,5.94076959533208e-18,4.36628488281278e-18,"12487/240754/20339/16963/18761/16184/12010/751864/18124/12578/20423/74734/83408/319655/12515/27027/24099/15930/234199/20443/12501/11808/67596/16160/20304/78473/12775/20533/56838/21943/15117/72049/16421/100043314/208154/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",54
