"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04612","Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","33/408","87/9568",0.379310344827586,8.89519945909398,15.6122641591784,2.18047523101628e-23,6.34518292225738e-21,5.4626642629671e-21,"12010/13040/12526/12525/16643/12265/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15511/193740/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/16149",33
"mmu05330","Human Diseases","Immune disease","mmu05330","Allograft rejection - Mus musculus (house mouse)","24/408","60/9568",0.4,9.38039215686275,13.7424957739913,5.88540655373914e-18,5.70884435712697e-16,4.91483073610497e-16,"12487/16160/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",24
"mmu05332","Human Diseases","Immune disease","mmu05332","Graft-versus-host disease - Mus musculus (house mouse)","24/408","60/9568",0.4,9.38039215686275,13.7424957739913,5.88540655373914e-18,5.70884435712697e-16,4.91483073610497e-16,"12487/16643/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",24
"mmu04940","Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)","24/408","67/9568",0.358208955223881,8.40035118525022,12.8284830220159,1.20513254241959e-16,8.76733924610254e-15,7.54793539725955e-15,"12487/16160/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",24
"mmu04640","Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","27/408","94/9568",0.287234042553192,6.73591989987484,11.7942558944197,8.56379446479436e-16,4.98412837851032e-14,4.29091175288644e-14,"12902/16184/12481/14255/12526/12525/54368/12483/233274/12478/14128/14934/12502/12500/12501/15001/14998/15000/14999/15002/14961/14960/14969/381091/12475/12507/12482",27
"mmu05169","Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","41/408","228/9568",0.179824561403509,4.21706226350189,10.3758499708871,2.03604907554142e-15,9.87483801637587e-14,8.50139789436592e-14,"12503/23797/12902/12010/100038882/246728/246727/23961/23960/246730/12478/54123/14128/12502/12500/12501/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/12229",41
"mmu04514","Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)","36/408","179/9568",0.201117318435754,4.71639829116004,10.5927647994333,3.06716674968945e-15,1.27506503451376e-13,1.09772283673096e-13,"12487/20339/12481/66797/12526/12525/12483/16421/14663/100043314/54419/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/12511/60533/58205",36
"mmu05168","Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","39/408","213/9568",0.183098591549296,4.29384148025407,10.2598457603027,5.50909539737412e-15,2.00393345079484e-13,1.72521671654611e-13,"20684/23797/12010/246728/246727/23961/23960/246730/54123/69550/81897/16160/20304/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/16149/170722",39
"mmu05320","Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)","23/408","76/9568",0.302631578947368,7.09700722394221,11.2619831351732,3.52675859017798e-14,1.14031861082421e-12,9.81717595862407e-13,"12487/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",23
"mmu05150","Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","29/408","128/9568",0.2265625,5.31311274509804,10.3676429018647,6.64482408835948e-14,1.93364380971261e-12,1.66470329792585e-12,"12630/50909/66298/634825/382059/100041759/13237/13239/100041890/626682/626708/100041952/503491/16672/16663/16664/16666/14293/15001/14998/15000/14999/15002/14961/14960/14969/381091/12268/12263",29
"mmu05416","Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","25/408","94/9568",0.265957446808511,6.23696287025448,10.7682954573169,7.33279370553081e-14,1.9398572439177e-12,1.67005253771898e-12,"12487/20649/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/13527",25
"mmu04672","Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)","16/408","43/9568",0.372093023255814,8.72594619243046,10.7157764892274,8.23057989266276e-12,1.99591562397072e-10,1.71831404776643e-10,"12487/24099/57916/12777/56838/72049/16421/15001/14998/15000/14999/15002/14961/14960/14969/381091",16
"mmu04145","Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","31/408","183/9568",0.169398907103825,3.97257044894461,8.56861824212589,3.16081896478877e-11,7.07537168271947e-10,6.09129484712329e-10,"17167/13040/50909/170786/280408/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/22153/12475",31
"mmu04061","Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","22/408","95/9568",0.231578947368421,5.43075335397317,9.15937500990752,4.76742088622095e-11,9.90942484207354e-10,8.53117421744801e-10,"16182/16963/16184/56221/20299/20295/76527/12145/252837/12773/23832/20306/20307/20304/20303/12775/12777/56838/16185/12458/16186/12766",22
