"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04612","Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","33/408","87/9574",0.379310344827586,8.90077755240027,15.6181358071464,2.13864638252525e-23,6.24484743697373e-21,5.38038405708984e-21,"12010/13040/12526/12525/16643/12265/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15511/193740/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/16149",33
"mmu05330","Human Diseases","Immune disease","mmu05330","Allograft rejection - Mus musculus (house mouse)","24/408","60/9574",0.4,9.38627450980392,13.7476133879829,5.80269220085343e-18,5.64795374216401e-16,4.86611731931218e-16,"12487/16160/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",24
"mmu05332","Human Diseases","Immune disease","mmu05332","Graft-versus-host disease - Mus musculus (house mouse)","24/408","60/9574",0.4,9.38627450980392,13.7476133879829,5.80269220085343e-18,5.64795374216401e-16,4.86611731931218e-16,"12487/16643/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",24
"mmu04940","Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)","24/408","67/9574",0.358208955223881,8.40561896400351,12.8333843660055,1.18840587630981e-16,8.67536289706158e-15,7.47444748521167e-15,"12487/16160/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",24
"mmu04640","Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","27/408","94/9574",0.287234042553192,6.74014392991239,11.7990413962523,8.43412095408107e-16,4.92552663718335e-14,4.24369454321132e-14,"12902/16184/12481/14255/12526/12525/54368/12483/233274/12478/14128/14934/12502/12500/12501/15001/14998/15000/14999/15002/14961/14960/14969/381091/12475/12507/12482",27
"mmu05169","Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","41/408","228/9574",0.179824561403509,4.21970674234606,10.3809006997729,1.99355542064605e-15,9.70196971381078e-14,8.35894290411239e-14,"12503/23797/12902/12010/100038882/246728/246727/23961/23960/246730/12478/54123/14128/12502/12500/12501/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/12229",41
"mmu04514","Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)","36/408","179/9574",0.201117318435754,4.71935589878409,10.5976615357249,3.00936811252648e-15,1.2553364126539e-13,1.08156237427644e-13,"12487/20339/12481/66797/12526/12525/12483/16421/14663/100043314/54419/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/12511/60533/58205",36
"mmu05168","Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","39/408","213/9574",0.183098591549296,4.29653410660039,10.2647987018662,5.3992180798852e-15,1.9707145991581e-13,1.69791200143758e-13,"20684/23797/12010/246728/246727/23961/23960/246730/54123/69550/81897/16160/20304/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/16149/170722",39
"mmu05320","Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)","23/408","76/9574",0.302631578947368,7.10145768833849,11.2664865348541,3.48087739698896e-14,1.12935133324531e-12,9.73017190503348e-13,"12487/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",23
"mmu05150","Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","29/408","128/9574",0.2265625,5.31644454656863,10.3722115178987,6.5412580970402e-14,1.91004736433574e-12,1.64564282651854e-12,"12630/50909/66298/634825/382059/100041759/13237/13239/100041890/626682/626708/100041952/503491/16672/16663/16664/16666/14293/15001/14998/15000/14999/15002/14961/14960/14969/381091/12268/12263",29
