"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-198933","R-MMU-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","24/362","94/8691",0.25531914893617,6.12977547901728,10.4245319112177,3.54878143374073e-13,2.39542746777499e-10,2.31231127103738e-10,"12503/75345/30925/12010/12526/12525/27007/12483/243958/12478/68713/12502/12500/12501/16421/14972/15006/15013/15015/110557/15018/15039/14990/224840",24
"R-MMU-2172127","R-MMU-2172127","DAP12 interactions","15/362","57/8691",0.263157894736842,6.31797034021518,8.3974042185876,6.59805205898238e-09,2.22684256990655e-06,2.14957590763689e-06,"12010/16643/27007/243958/16797/17444/14972/15006/15013/15015/110557/15018/15039/14990/12229",15
"R-MMU-1236974","R-MMU-1236974","ER-Phagosome pathway","11/362","31/8691",0.354838709677419,8.51906968454821,8.74286461121808,2.25085073810063e-08,5.06441416072641e-06,4.8886898487168e-06,"12010/14972/21354/21355/15006/15013/15015/110557/15018/15039/14990",11
"R-MMU-375276","R-MMU-375276","Peptide ligand-binding receptors","26/362","185/8691",0.140540540540541,3.37413767358519,6.80450937958914,4.26154548315397e-08,7.19135800282233e-06,6.94183330019028e-06,"16963/14061/18167/18619/23919/18386/109648/50501/15199/20299/20295/12145/252837/12773/20304/20303/12775/12777/19064/217369/56838/12458/14293/14419/226278/12766",26
"R-MMU-1236977","R-MMU-1236977","Endosomal/Vacuolar pathway","9/362","22/8691",0.409090909090909,9.82157207433451,8.63655549854257,1.05108782586258e-07,1.41896856491449e-05,1.36973339833461e-05,"12010/14972/15006/15013/15015/110557/15018/15039/14990",9
"R-MMU-380108","R-MMU-380108","Chemokine receptors bind chemokines","13/362","53/8691",0.245283018867925,5.88882518503075,7.44223852981127,1.69727982204593e-07,1.90943979980167e-05,1.84318633306392e-05,"16963/20299/20295/12145/252837/12773/20304/20303/12775/12777/56838/12458/12766",13
"R-MMU-983170","R-MMU-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","11/362","38/8691",0.289473684210526,6.9497673742367,7.66260034414976,2.45834171700714e-07,2.3705437985426e-05,2.28829101177056e-05,"12010/14972/21354/21355/15006/15013/15015/110557/15018/15039/14990",11
"R-MMU-389948","R-MMU-389948","PD-1 signaling","7/362","13/8691",0.538461538461538,12.9275393115172,8.97181794420884,2.83723948275185e-07,2.39392081357187e-05,2.31085689450447e-05,"12503/12502/12500/12501/381091/60533/58205",7
"R-MMU-373076","R-MMU-373076","Class A/1 (Rhodopsin-like receptors)","33/362","305/8691",0.108196721311475,2.59761796938683,5.92124689165278,3.99773460454106e-07,2.9983009534058e-05,2.89426633942797e-05,"16963/14061/18167/18619/23919/18386/109648/50501/15465/15199/20299/20295/12145/252837/12773/20304/20303/12775/12777/19064/217369/56696/56838/110168/321019/12458/14293/14419/15566/11551/226278/12766/78826",33
"R-MMU-1462054","R-MMU-1462054","Alpha-defensins","10/362","34/8691",0.294117647058824,7.06126096847579,7.38221135861308,7.43766178599582e-07,5.02042170554718e-05,4.84622383740148e-05,"66298/634825/382059/100041759/13237/100041890/626682/626708/100041952/503491",10
"R-MMU-1461973","R-MMU-1461973","Defensins","12/362","51/8691",0.235294117647059,5.64900877478063,6.94154790489713,8.2956918380659e-07,5.09053817335862e-05,4.91390741412707e-05,"266620/66298/634825/382059/100041759/13237/100041890/626682/626708/100041952/503491/12458",12
"R-MMU-6803157","R-MMU-6803157","Antimicrobial peptides","15/362","89/8691",0.168539325842697,4.04634055496927,6.0220100894368,3.37648468497491e-06,0.000189927263529839,0.000183337194736796,"266620/228801/66298/634825/382059/100041759/13237/100041890/626682/626708/100041952/503491/78416/12458/57757",15
"R-MMU-8957275","R-MMU-8957275","Post-translational protein phosphorylation","17/362","113/8691",0.150442477876106,3.61186622989293,5.82592478558908,3.81973944393868e-06,0.000198332624973739,0.000191450908161785,"11905/14067/16425/12653/18619/11657/20750/66113/77583/20701/75761/223672/108956/71898/15160/30060/12268",17
"R-MMU-202433","R-MMU-202433","Generation of second messenger molecules","7/362","19/8691",0.368421052631579,8.84515847630125,7.13652233472796,6.7019860932766e-06,0.000323131472354407,0.000311919503138212,"12503/16797/12502/12500/12501/17444/381091",7
"R-MMU-381426","R-MMU-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","17/362","119/8691",0.142857142857143,3.42975532754538,5.56368694090479,7.83061503590297e-06,0.000352377676615634,0.000340150926822733,"11905/14067/16425/12653/18619/11657/20750/66113/77583/20701/75761/223672/108956/71898/15160/30060/12268",17
"R-MMU-388841","R-MMU-388841","Costimulation by the CD28 family","11/362","57/8691",0.192982456140351,4.63317824949113,5.73701326019864,1.84837546705284e-05,0.000779783400162917,0.00075272658822744,"12487/12503/23797/12502/12500/12501/17444/208154/381091/60533/58205",11
"R-MMU-500792","R-MMU-500792","GPCR ligand binding","34/362","392/8691",0.086734693877551,2.08235144886684,4.57157865718355,3.61111929244288e-05,0.00143382677788173,0.00138407606317161,"16963/14526/14061/18167/18619/23919/18386/109648/50501/15465/15199/20299/20295/12145/252837/12773/20304/20303/12775/12777/19064/217369/56696/56838/110168/321019/12458/14293/14419/15566/11551/226278/12766/78826",34
"R-MMU-1236975","R-MMU-1236975","Antigen processing-Cross presentation","13/362","89/8691",0.146067415730337,3.50682848097337,4.95550189892063,7.27847847843227e-05,0.00269323160445292,0.00259978224273896,"12010/14972/16912/21354/16913/21355/15006/15013/15015/110557/15018/15039/14990",13
"R-MMU-202427","R-MMU-202427","Phosphorylation of CD3 and TCR zeta chains","5/362","12/8691",0.416666666666667,10.003453038674,6.50627813622697,7.58094821994156e-05,0.00269323160445292,0.00259978224273896,"12503/12502/12500/12501/381091",5
"R-MMU-2168880","R-MMU-2168880","Scavenging of heme from plasma","6/362","22/8691",0.272727272727273,6.547714716223,5.43136139828635,0.00021187383177422,0.00715074182237992,0.00690262641411801,"16069/11657/75761/223672/108956/71898",6
"R-MMU-418594","R-MMU-418594","G alpha (i) signalling events","24/362","271/8691",0.0885608856088561,2.12619518460378,3.92653983887041,0.00038224594039581,0.0122864766555796,0.0118601622609026,"18167/18619/23919/18386/109648/15199/12145/12773/432530/20304/20303/12775/12777/19064/50779/56838/110168/321019/12458/14293/14680/14419/11551/12766",24
"R-MMU-1280215","R-MMU-1280215","Cytokine Signaling in Immune system","35/362","467/8691",0.0749464668094218,1.79933630674222,3.70181040211971,0.000496217467302418,0.0147455363812247,0.0142338978869054,"16182/20849/23797/16184/77799/22163/100038882/231655/14255/20617/16170/16068/60504/24099/434341/76527/74153/237310/16160/57916/319152/319153/21943/16185/17444/72049/17858/16912/16913/15511/193740/16994/22153/112419/16186",35
"R-MMU-2173782","R-MMU-2173782","Binding and Uptake of Ligands by Scavenger Receptors","7/362","35/8691",0.2,4.80165745856354,4.69803365650986,0.000502440498915804,0.0147455363812247,0.0142338978869054,"17167/16069/11657/75761/223672/108956/71898",7
"R-MMU-71240","R-MMU-71240","Tryptophan catabolism","4/362","11/8691",0.363636363636364,8.73028628829734,5.34810346513614,0.000773835559217748,0.0217641251029992,0.0210089566296397,"98256/70789/56720/15930",4
"R-MMU-2424491","R-MMU-2424491","DAP12 signaling","6/362","29/8691",0.206896551724138,4.96723185368642,4.46113364667796,0.00105374577401327,0.0284511358983583,0.0274639424890195,"12010/16643/27007/16797/17444/12229",6
"R-MMU-983695","R-MMU-983695","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","5/362","24/8691",0.208333333333333,5.00172651933702,4.09247815939812,0.00269171260228871,0.0698810002517261,0.0674562793852919,"12518/12483/12478/15985/12229",5
"R-MMU-977606","R-MMU-977606","Regulation of Complement cascade","6/362","36/8691",0.166666666666667,4.00138121546961,3.7618945431744,0.00338016384053379,0.0845040960133449,0.0815719850795485,"14061/12630/50909/12478/12268/12263",6
"R-MMU-5676594","R-MMU-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway","4/362","17/8691",0.235294117647059,5.64900877478063,3.9998422189026,0.00457629570754976,0.110321414378432,0.106493497856139,"24099/21943/72049/16994",4
"R-MMU-2871809","R-MMU-2871809","FCERI mediated Ca+2 mobilization","5/362","28/8691",0.178571428571429,4.28719415943173,3.63193408089889,0.00542969469766826,0.12638082485952,0.121995681228917,"14125/16797/17444/14126/12229",5
"R-MMU-189483","R-MMU-189483","Heme degradation","4/362","19/8691",0.210526315789474,5.05437627217214,3.68815326129513,0.0069784565897894,0.157015273270262,0.151567179967707,"11657/26357/100042295/12780",4
"R-MMU-189445","R-MMU-189445","Metabolism of porphyrins","5/362","31/8691",0.161290322580645,3.87230440206737,3.33979728384305,0.00847698894805221,0.184579598062427,0.178175081794374,"11657/26357/100042295/12780/11656",5
"R-MMU-9020558","R-MMU-9020558","Interleukin-2 signaling","3/362","11/8691",0.272727272727273,6.547714716223,3.83811817452805,0.00921236807804663,0.194323389146296,0.187580784220752,"16184/16185/16186",3
"R-MMU-202403","R-MMU-202403","TCR signaling","10/362","102/8691",0.0980392156862745,2.3537536561586,2.86705595872563,0.00980145409870453,0.19462640079996,0.187873282019766,"12503/18761/16797/12502/12500/12501/17444/16912/16913/381091",10
"R-MMU-140837","R-MMU-140837","Intrinsic Pathway of Fibrin Clot Formation","4/362","21/8691",0.19047619047619,4.57300710339384,3.41744647057272,0.0100917393007387,0.19462640079996,0.187873282019766,"11905/14061/54368/15160",4
"R-MMU-140875","R-MMU-140875","Common Pathway of Fibrin Clot Formation","4/362","21/8691",0.19047619047619,4.57300710339384,3.41744647057272,0.0100917393007387,0.19462640079996,0.187873282019766,"11905/14067/14061/15160",4
"R-MMU-166658","R-MMU-166658","Complement cascade","6/362","46/8691",0.130434782608696,3.13151573384578,3.02170944622054,0.0114759301171308,0.209554989513033,0.202283880715115,"14061/12630/50909/12478/12268/12263",6
"R-MMU-425366","R-MMU-425366","Transport of bile salts and organic acids, metal ions and amine compounds","8/362","74/8691",0.108108108108108,2.59549051814245,2.87342445361689,0.0114867179436774,0.209554989513033,0.202283880715115,"58176/242259/55961/14412/233836/102680/20500/20519",8
"R-MMU-425407","R-MMU-425407","SLC-mediated transmembrane transport","17/362","224/8691",0.0758928571428571,1.82205751775848,2.59853862772551,0.0122086390065785,0.216863982353696,0.209339267176511,"227394/58176/242259/242607/55961/14412/233836/102680/64452/216225/20500/20533/50934/56643/69354/11815/20519",17
"R-MMU-1169410","R-MMU-1169410","Antiviral mechanism by IFN-stimulated genes","9/362","91/8691",0.0989010989010989,2.37444599599296,2.74768468722104,0.0132087680534476,0.228613293232746,0.220680902161512,"100038882/231655/20617/74153/17858/15511/193740/22153/112419",9
"R-MMU-140877","R-MMU-140877","Formation of Fibrin Clot (Clotting Cascade)","5/362","36/8691",0.138888888888889,3.33448434622468,2.92601415572416,0.0158811464039134,0.267994345566039,0.258695516421643,"11905/14067/14061/54368/15160",5
"R-MMU-189451","R-MMU-189451","Heme biosynthesis","3/362","14/8691",0.214285714285714,5.14463299131807,3.23543769662473,0.0185251330325084,0.293865753331835,0.283669241812718,"11657/26357/11656",3
"R-MMU-2022377","R-MMU-2022377","Metabolism of Angiotensinogen to Angiotensins","3/362","14/8691",0.214285714285714,5.14463299131807,3.23543769662473,0.0185251330325084,0.293865753331835,0.283669241812718,"12873/104158/17228",3
